city,quality,floors,rooms,area_sqft,wall_length_ft,carpet_ratio,bricks_count,cement_bags,steel_kg,paint_liters,worker_days,total_cost
Chennai,standard,3,5,1841.1,81.2,0.6,30523,1992,12226,755,481,2182934.84
Jaipur,standard,2,8,1370.1,186.5,0.73,19750,1059,6148,420,260,1389969.28
Hyderabad,standard,3,8,1779.8,217.1,0.73,34513,1976,11859,757,467,2346104.98
Bengaluru,basic,2,3,1174.0,80.0,0.75,14911,860,5197,330,207,857065.03
Mumbai,basic,3,8,1710.1,215.2,0.75,32456,1890,11397,729,456,1996192.96
Bengaluru,standard,2,5,1047.6,121.6,0.71,15026,797,4700,311,193,900663.42
Mumbai,premium,2,2,1162.1,80.0,0.71,14766,835,5146,320,195,1145419.45
Mumbai,basic,2,2,1242.7,80.0,0.74,14993,894,5508,340,217,906137.09
Mumbai,standard,1,6,682.9,122.9,0.62,7917,306,1585,141,87,365825.74
Delhi,standard,3,4,1557.5,95.5,0.77,25842,1686,10344,638,383,1908676.76
Hyderabad,standard,3,4,1940.3,98.0,0.62,32624,2086,12893,791,493,2539909.74
Pune,standard,3,3,1561.0,80.0,0.59,26533,1674,10318,630,396,2082612.39
Mumbai,standard,2,5,1151.6,80.0,0.72,13909,864,5130,339,225,979801.4
Coimbatore,basic,1,6,648.8,143.8,0.7,9162,300,1537,131,76,349606.59
Bengaluru,standard,2,4,1425.8,81.4,0.77,17300,1045,6333,401,257,1135074.4
Jaipur,standard,3,9,1725.9,273.5,0.71,35401,1922,11552,746,464,2529434.26
Jaipur,standard,1,5,716.3,95.8,0.83,7796,310,1643,138,76,386733.41
Mumbai,standard,1,9,899.2,229.9,0.73,13247,423,2126,183,125,492012.46
Ahmedabad,basic,2,8,1437.4,174.8,0.7,20251,1101,6465,439,291,1246261.2
Jaipur,premium,2,2,1336.4,80.0,0.61,16209,961,5960,369,217,1442967.79
Hyderabad,standard,2,8,1480.9,189.8,0.65,20377,1132,6615,447,276,1317804.6
Chennai,premium,1,5,1219.4,97.8,0.61,10439,501,2734,197,131,681099.22
Delhi,basic,1,9,965.2,224.6,0.69,11999,445,2253,198,126,482644.26
Coimbatore,standard,3,5,1752.8,131.3,0.7,30527,1902,11641,730,466,2488010.31
